retail_price,release_month,release_quarter,log_retail_price,has_collaboration,collab_count,collab_tier,brand_retail_mean,brand_retail_std,brand_retail_median,brand_resell_mean,brand_resell_std,brand_resell_median,model_retail_mean,model_retail_std,model_retail_median,model_resell_mean,model_resell_std,model_resell_median,model_count,retail_to_brand_mean,model_resell_mean_to_brand_mean,retail_to_model_mean,brand,model_processed,collab_brands,size_category,resell_price
255.0,10.0,4.0,5.545177444479562,0,0,0,137.4869109947644,41.30398969371303,130.0,171.01570680628274,96.22273921205674,143.0,136.66666666666666,21.110192891170804,130.0,126.4,44.949204891834995,117.0,33.0,1.8547220106626048,0.8594401987903793,0.9944751381215469,ASICS,Other,none,Men,226.0
120.0,8.0,3.0,4.795790545596741,0,0,0,148.30107526881721,40.503667603792955,150.0,154.40430107526882,79.51783566192826,134.0,114.98529411764706,14.315728378838475,120.0,103.76470588235294,36.52196952686368,95.5,68.0,0.8091647331786542,0.672032483290539,1.043611715053076,New Balance,550,none,Men,110.0
150.0,1.0,1.0,5.017279836814924,0,0,0,148.30107526881721,40.503667603792955,150.0,154.40430107526882,79.51783566192826,134.0,150.08771929824562,22.23035304468258,150.0,148.24561403508773,51.357737176785726,137.0,57.0,1.011455916473318,0.9601132416824395,0.9994155464640561,New Balance,2002r,none,Men,137.0
150.0,9.0,3.0,5.017279836814924,0,0,0,148.30107526881721,40.503667603792955,150.0,154.40430107526882,79.51783566192826,134.0,150.83333333333334,13.099097120852496,150.0,165.26190476190476,62.98864289439458,142.0,84.0,1.011455916473318,1.0703193085362506,0.9944751381215469,New Balance,9060,none,Men,125.0
160.0,10.0,4.0,5.081404364984463,0,0,0,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,161.51162790697674,4.944318976761575,160.0,121.86046511627907,20.59886889560968,119.0,43.0,1.0899439899610421,0.6952948584979338,0.9906407487401008,Nike,zoom vomero 5,none,Women,117.0
120.0,10.0,4.0,4.795790545596741,0,0,0,148.30107526881721,40.503667603792955,150.0,154.40430107526882,79.51783566192826,134.0,158.3783783783784,13.847084232492474,155.0,168.6216216216216,104.22234547973528,133.0,37.0,0.8091647331786542,1.0920785266170931,0.757679180887372,New Balance,1906r,none,Men,112.0
65.0,9.0,3.0,4.189654742026425,0,0,0,143.80548141086751,46.44936103166427,140.0,155.84842707340323,169.4874933458879,115.0,151.58227848101265,53.46664610786821,160.0,223.9240506329114,184.5190402343971,180.0,79.0,0.45199946039809225,1.4368066129242687,0.42881002087682674,Jordan,4 retro,none,TD,62.0
150.0,10.0,4.0,5.017279836814924,0,0,0,148.30107526881721,40.503667603792955,150.0,154.40430107526882,79.51783566192826,134.0,150.08771929824562,22.23035304468258,150.0,148.24561403508773,51.357737176785726,137.0,57.0,1.011455916473318,0.9601132416824395,0.9994155464640561,New Balance,2002r,none,Men,175.0
220.0,8.0,3.0,5.3981627015177525,1,1,3,148.30107526881721,40.503667603792955,150.0,154.40430107526882,79.51783566192826,134.0,209.5,15.356865999719256,220.0,228.0,52.97169055259611,220.0,10.0,1.4834686774941994,1.476642803420708,1.0501193317422435,New Balance,993,clot,Men,177.0
180.0,4.0,2.0,5.198497031265826,1,1,2,146.79653401797177,54.39738473919055,140.0,175.26444159178433,358.7797390098799,118.0,191.6,27.467961134545263,180.0,367.5,120.58952414423622,338.5,10.0,1.2261869887061725,2.096831488819389,0.9394572025052192,Nike,vaporwaffle,sacai,Men,266.0
